industry,function,usecase,paragraph_ID
mckinsey analytics ; mckinsey global institute analysis,analysis,analysis,169
[SEP],what kind of application ? [SEP],repeats,170
geo,analytics,integrate data and analytics into their existing operations,171
data scientists,training,demand for data scientists would outstrip supply,172
data and analytics,business,the need to lead in data and analytics,173
tech,talent shortage,beyond the talent shortage : how tech candidates search for jobs,174
[SEP],executive,executive,175
business,business translators,projected us demand for business translators,176
data,artificial intelligence,scarcity of elite data scientists has even been a factor in some acquisitions of cutting - edge artificial intelligence ( ai ) startups,177
data preparation,data preparation,our high - case scenario projects even greater ( 12 percent ) annual growth in demand,178
"data scientists , assuming their presence alone will enable an analytics transformation . but another equally vital role is that of the business translator who serves as the link between analytical talent and practical applications to business questions . in addition to being data savvy , business translators need to have deep organizational knowledge and industry or functional expertise",practical,assuming their presence alone will enable an analytics transformation,179
"science , technology , engineering , and mathematics",business translators,"wages may have to increase , or more companies will need to implement their own training programs",180
analytics service providers,visualization,distilling it and bringing it to life through visualization is becoming critical to help make the results of data analyses digestible for decision makers,181
technology,technology,changing the nature of competition and consolidating big advantages,182
analytics,analytics,the talent dividend,183
data - oriented companies,data - oriented,competitive advantage,184
any,search,using the burning glass job postings database,185
"data visualization , tableau , qlikview , and spotfire",data visualization,competition at the digital edge : ‘ hyperscale businesses,186
quarterly,quarterly,quarterly,187
data and analytics,analytics,business models predicated on data and analytics,188
"digital platforms , data , and analytical talent",digital platforms,"invest heavily in digital platforms , data , and analytical talent . new digital native players can circumvent traditional barriers to entry",189
financial products and services,"financial products and services , while google is developing autonomous cars",barter system,190
launching a new product line or cracking a scientific question,launching a new product line or cracking a scientific question,business leaders want to know what the information they hold is worth,191
"web , social media , industrial sensors , payment systems , cameras , wearable devices , and human entry",on,data can provide insights for diverse uses,192
corporate profits,global competition for corporate profits,playing to win : the new global competition for corporate profits,193
[SEP],executive,executive,194
analytics and data platform,data,hungry to use data to grow and improve performance,195
data generation and collection,data generation and collection,data generation and collection,196
captured,captured,initially captured,197
data aggregation,data aggregation,data aggregation,198
data analysis,data analysis,data analysis,199
monetizing data,proxies,most data are becoming more commoditized,200
market - making or social media platforms,social media,"when access is limited by physical barriers or collection is expensive , data will hold its value",201
competitors,third - party aggregators,aggregating information from different sources,202
analytics,analytics,combining,203
"inefficient matching , information asymmetries , and human biases and errors",data - driven models and capabilities are reshaping some industries — and could soon transform many more certain characteristics of a given market,the introduction of new data is a key enabler,204
exhibit,exhibit,exhibit,205
data and analytics,data and analytics,disruptive models,206
▪ assets are underutilized,disruption : ▪ assets are underutilized,disruption,207
inefficient signaling,inefficient signaling,inefficient signaling,208
supply / demand,supply / demand,supply / demand mismatch,209
personalized data,personalized data,personalized data,210
▪,combining,combining data,211
multiple,what kind of application ? [SEP],what is main idea ? [SEP],212
r & d,r & d,r & d,213
bias,biases,biases,214
▪,decision making,speed of decision making,215
human constraints,human constraints,human constraints,216
improving,improving,improving,217
accuracy of prediction,accuracy of prediction,accuracy of prediction,218
mc,analysis,analysis,219
business,real - time matching,real - time matching,220
transportation and logistics,retail media education,smart cities,221
radical personalization,radical personalization,radical personalization,222
data,massive data integration,massive data integration,223
data - driven discovery,data - driven discovery,data - driven discovery,224
decision making,enhanced decision making,enhanced decision making,225
[SEP],what kind of application ? [SEP],repeats,226
industries where most incumbents have become used to relying on a certain kind of standardized data to make decisions,[CLS],bringing,227
within,orthogonal data will rarely replace the data that are already in use in a domain,integrate orthogonal data with existing data,228
[SEP],executive,executive,229
up,up,up,230
mobility services,mobility,potential economic impact from continued adoption of mobility services,231
business models and improve performance .,orthogonal data being combined with existing data to create new business models,improve performance,232
sellers and buyers,hyperscale platforms,hyperscale platforms can match supply and demand,233
"uber , lyft , and chinese ride - sharing",personal transportation,efficient and instant matching,234
taxi industry,mobility,the shift toward mobility services could halve the growth rate of global vehicle sales by 2030,235
"education , travel and leisure , media , retail , and advertising",advertising,micro,236
pharmaceutical and medical device,"[SEP] this capability could have profound implications for the way health care is delivered if the sector can incorporate the behavioral , genetic , and molecular data connected with many individual patients . the declining costs of genome sequencing , the advent of proteomics , and the growth of real - time monitoring technologies make it possible to generate this kind of new , ultra - granular data . these data can reshape health care in two profound ways . first , they can help address information asymmetries and incentive problems in the health - care system . now that a more complete view of the patient is available , incentives could be changed for hospitals and other providers to shift their focus from disease treatment to wellness and prevention , saving huge sums on medical expenditures and improving the quality of life . second , having more granular and complete data on individual patients can make treatments more precise . pharmaceutical and medical device companies have enormous possibilities in r & d for accelerating drug discovery",treatments,237
health - care costs,personalized medicine,reduce health - care costs,238
up,up,up,239
retail banking,data integration,massive data integration,240
health - care system can adapt and whether r & d,r & d,breakthrough treatments,241
data and analytics,analytics,accessing all the information that is relevant to a given problem,242
"retail banking , for instance , is an industry rich with data on customers ’ transactions , financial status , and demographics",massive data integration,massive data integration,243
financial services,advanced analytics,"companies in other sectors can become part of the financial services ecosystem if they bring in orthogonal data — such as non - financial data that provides a more comprehensive and detailed view of the customer . these players may have large customer bases and advanced analytics capabilities created for their core businesses , and they can use these advantages to make rapid moves across sector boundaries",244
data and analytics,innovation,innovation one of the main components of productivity growth,245
process innovation,process innovation,understanding this variance and how to build more effective collaboration is a huge opportunity for organizations,246
"materials science , synthetic biology , and life sciences",product innovation,data from a variety of sources could better determine the chemical compounds that would serves as effective drug treatments for a variety of diseases,247
[SEP],executive,executive,248
scientific and drug development,advancing scientific and drug development breakthroughs,"to build a database of one million genomic and health records along with 500 , 000 dna samples from clinical trials",249
data and analytics,analytics,algorithms can support and enhance human decision making,250
doctors,prevention of medical errors,"prevention of medical errors . advanced analytical support tools can flag potential allergies or dangerous drug interactions for doctors and pharmacists alike , ensuring that their decisions are consistent and reliable . and finally , perhaps no area of human decision making is quite as opaque and clouded by asymmetric information as hiring . data and analytics have the potential to create a more transparent labor market",251
every industry,conventional,to give the algorithm a massive number of “ experiences ” ( training data ) and a generalized strategy for learning,252
engineering and economics,solving dynamic optimization and control theory problems,storing,253
12,business uses,to set the stage for future research,254
exhibit,exhibit,exhibit,255
business,machine learning can be combined with other types of analytics,solve a large swath of business problems,256
machine learning techniques,machine learning,machine learning,257
[SEP],not,what is main idea ? [SEP],258
cluster,clustering,clustering,259
k,k,k,260
other analytics,other analytics,analytics,261
"regression ( e . g . , logistic",regression,regression,262
use cases,use cases,use cases,263
resource allocation,resource allocation,resource allocation,264
dimensional,dimensionality reduction,dimensionality reduction,265
search algorithms,search algorithms,search algorithms,266
predictive analytics,predictive analytics,predictive analytics,267
classification,classification,classification,268
support vector machines,support vector machines,support vector machines,269
conventional,conventional neural networks,neural networks,270
sorting,sorting,sorting,271
merging,merging,merging,272
predictive maintenance,predictive maintenance,predictive maintenance,273
hyper - personalization,hyper - personalization,hyper - personalization,274
deep,deep learning networks,deep learning,275
compression,compression,compression,276
discover new trends / anomalies,discover new trends,discover new trends / anomalies,277
con,convolutional neural network,convolutional neural network,278
graph algorithms,graph algorithms,graph algorithms,279
forecasting,forecasting,forecasting,280
rec,neural network,recurrent neural network,281
linear and non - linear,linear and non - linear,linear,282
optimization,optimization,optimization,283
price and product optimization,price and product optimization,price and product optimization,284
deep belief networks,deep belief networks,deep belief,285
signal processing,signal processing,signal processing,286
convert,convert unstructured data,convert unstructured data,287
encryption,encryption,encryption,288
triaging,triaging,triaging,289
problem types,problem types,problem types,290
classification,classification,classification,291
prediction,prediction,prediction,292
generation,generation,generation,293
mc,analysis,analysis,294
[SEP],what kind of application ? [SEP],repeats,295
"identifying objects in images and video , and recognizing text and audio","classification , prediction / estimation , and generation ( exhibit e5 ) . classification problems are about observing the world , including identifying objects in images and video , and recognizing text and audio . classification also involves finding associations in data or segmenting it into clusters , which is useful in tasks such as customer segmentation . machine learning can also be used to predict the likelihood of events and forecast outcomes . lastly , it can be used to generate content",observing the world,296
[SEP],executive,executive,297
exhibit,exhibit,exhibit,298
"classification , prediction , and generation","classification , prediction , and generation problems","machine learning can help solve classification , prediction , and generation problems",299
classification,classification,classification,300
visual,classify / label visual objects,classify / label,301
"objects , faces in images and video",identify,identify,302
writing and text,"classify / label writing and text classify / label audio cluster , group other data","classify / label writing and text classify / label audio cluster , group other data",303
associations,associations,discover associations,304
value,predict probability of outcomes forecast value function estimation,predict probability of outcomes forecast value function estimation,305
prediction,prediction,prediction,306
generation,generation,generation,307
generate visual objects,generate visual objects,generate visual objects,308
writing and text,generate writing and text,generate writing and text generate audio,309
mc,analysis,analysis,310
"customers , product features",trained on a set of artist ’ s paintings,predict the probability that a customer will choose another provider,311
[SEP],what kind of application ? [SEP],repeats,312
keeping race cars running at peak performance to ferreting out fraud,keeping race cars running at peak performance to ferreting out fraud,keeping race cars running at peak performance to ferreting out fraud,313
aerodynamics,machine learning,improve,314
documentation,documentation,reduced the budget,315
money laundering,predictive analytics,spotting fraud,316
12,machine learning,extraordinary breadth of the potential applications of machine learning,317
use cases,use cases,potential impact,318
exhibit,what kind of application ? [SEP],exhibit,319
industries,use cases,machine learning,320
variety of data ( number of data types,variety of data,variety of data,321
agriculture automotive consumer,automotive consumer,agriculture,322
energy finance health care,energy finance,energy finance,323
manufacturing media pharmaceuticals,manufacturing media,manufacturing media pharmaceuticals,324
volume breadth and frequency of data,data,volume breadth and frequency of data,325
lower priority,lower priority,lower priority,326
"travel , transport , and logistics",public / social telecom,"public / social telecom travel , transport , and logistics",327
higher potential,higher potential,higher potential,328
advertising,personalize advertising,personalize advertising,329
identify fraudulent transactions,identify fraudulent transactions,identify fraudulent transactions,330
personal,personalize,personalize,331
financial products,financial products,financial products,332
identify,identify,identify,333
navigate roads,navigate roads,navigate roads,334
crops,personalize crops to individual conditions,personalize crops to individual conditions,335
pricing and scheduling,scheduling,optimize pricing and scheduling,336
[SEP],real time,what is main idea ? [SEP],337
personal,predict personalized health outcomes,predict personalized health outcomes,338
consumer,discover new consumer trends,discover new consumer trends,339
merchandising,merchandising,optimize merchandising strategy,340
energy,energy,predictive maintenance,341
manufacturing,predictive maintenance,predictive maintenance,342
diagnose diseases,diagnose diseases,diagnose diseases,343
clinical trials,clinical trials,optimize clinical trials,344
impact,impact,impact score,345
mc,analysis,analysis,346
[SEP],executive,executive,347
[SEP],what kind of application ? [SEP],repeats,348
travel and logistics,personalized advertising,prioritize the use of machine learning and prepare for a transformation to take place,349
"consumer packaged goods , finance and insurance , health care , and media",strategic optimization,personalization of products and services for customers,350
every occupation,work activities performed in every occupation in the economy,advances in deep learning could greatly expand the scope of automation,351
workplace,workplaces,almost all activities require some capabilities that correlate with what machine learning can do,352
natural language understanding,natural language understanding,potential to be automated by adapting currently demonstrated technology,353
"detailed work activities ” are defined by o * net , a data collection program sponsored by the us department of labor",data collection,workplace automation,354
machine learning gains better capabilities in natural language understanding,natural language understanding,machine learning gains better capabilities in natural language understanding,355
exhibit,what kind of application ? [SEP],exhibit,356
understanding and generation as well as social sensing,work,improvements in natural learning understanding and generation as well as social sensing would have the biggest impact on expanding the number of work activities that deep learning could technically automate,357
capability,capability,capability,358
natural language understanding,natural language understanding,natural language understanding,359
sensory perception,sensory perception,sensory perception,360
categories,generating novel patterns / categories,generating novel patterns / categories,361
social and emotional sensing,social and emotional sensing,social and emotional sensing,362
categories,recognizing,recognizing known patterns / categories,363
optimization and planning,optimization and planning,optimization and planning,364
natural language generation,natural language generation,natural language generation,365
detailed work activities,detailed work activities,share of detailed work activities,366
where,where required,share of dwas where current level is inadequate,367
%,%,capability is the only gap,368
mc,analysis,analysis,369
"executive assistants , cashiers , and waitstaff",administrative duties,possibility of substantial job displacement,370
machine learning in general and deep learning in particular,machine learning,machine learning,371
[SEP],executive,executive,372
exhibit,what kind of application ? [SEP],exhibit,373
ten occupations,deep learning,improvements in deep learning,374
multiple,multiple,what is main idea ? [SEP],375
categories,generating novel patterns / categories,generating novel patterns / categories,376
natural language understanding,natural language understanding,natural language understanding,377
sensory perception,sensory perception,sensory perception,378
social and emotional sensing,social and emotional sensing,social and emotional sensing,379
d,automated,% of time spent on activities that could be automated if dl improves,380
dwas,automated,could be automated,381
global employ,global employ,global employ,382
hourly,hourly,hourly wage,383
wages,wages,global wages,384
"interacting with computers to enter data , process information",interacting with computers,"interacting with computers to enter data , process information",385
performing administrative activities,administrative,performing administrative activities,386
"processes , materials , or surroundings",monitoring,monitoring,387
interpreting the meaning of information for others,interpreting,interpreting the meaning of information for others,388
occupations,occupations,occupations,389
"legal , medical , and executive",legal,administrative assistants,390
business operations specialists,business operations,business operations,391
managers,managers,managers,392
office and administrative support workers,first - line supervisors of office and administrative support workers,first - line supervisors of office and administrative support workers,393
cashiers,cashiers,cashiers,394
performing administrative activities,administrative,performing administrative activities,395
retail sales workers,first - line supervisors of retail sales,first - line supervisors of retail sales workers,396
"guiding , directing , and motivating subordinates","guiding , directing , and motivating subordinates","guiding , directing , and motivating subordinates",397
industrial engineers,industrial engineers,industrial engineers,398
getting information,getting information,getting information,399
customer service,customer service,customer service,400
lawyers,lawyers,lawyers,401
"helpers , laborers , and material movers",first - line supervisors,"first - line supervisors of helpers , laborers , and material movers",402
performing for or working directly with the public,performing for or working directly with the public,performing for or working directly with the public,403
providing consultation and advice,providing consultation,providing consultation and advice to others,404
"organizing , planning , and prioritizing work","organizing , planning , and prioritizing work","organizing , planning , and prioritizing work",405
dwa,d,d,406
labor and statistical,analysis,labor and statistical sources ; mckinsey global institute analysis,407
decision makers and customers,regulatory purposes,deep learning models are opaque,408
"artificial intelligence experts , through openai , the foundation for responsible robotics","artificial intelligence experts , through openai , the foundation for responsible robotics",deciding whose ethical guidelines will be encoded in the decision making of intelligence and who is responsible for the algorithm ’ s conclusions,409
manufacturing,[CLS],dealing,410
data and analytics,data and analytics,organizations that are able to harness these capabilities effectively will be able to create significant value and differentiate themselves,411
[SEP],executive,executive,412
cultura creative / alamy,what kind of application ? [SEP],cult,413
real444 / getty images,real,real,414
[SEP],executive,executive,415
data and analytics,data and analytics,the data and analytics revolution,416
big data and analytics,big data and analytics,this potential has not been overhyped,417
"digital platforms , wireless sensors , virtual reality applications , and billions of mobile phones",virtual reality,the,418
customer,recommendation engine,improve their core operations or to launch entirely new business models,419
data and analytics technology,data and analytics,how to take the initial steps,420
"transportation , hospitality , and retail",data and analytics,it,421
"innovation , competition , and productivity",sustainability,"big data : the next frontier for innovation , competition , and productivity , mckinsey global institute , june 2011 . 12 “ ups orion to be deployed to 70 percent of us routes in 2015 ; delivers significant sustainability benefits",422
ups,algorithm,the algorithm is the driver,423
"algorithms , business value , and innovation",recommender system,"big data , big bang ? ” journal of big data , volume 3 , number 2 , 2016 . 14 paul taylor , “ crunch time for big data , ” the financial times , june 19 , 2012 . 15 carlos a . gomez - uribe and neil hunt , “ the netflix recommender system : algorithms , business value , and innovation",424
machine learning and deep learning,machine learning and deep learning,big,425
"data collection , machine learning , and computational power",analytics,turning this flood of raw data into insights,426
big data and advanced analytics,advanced analytics,breakthrough,427
"generating , collecting , and storing data",internet searches,difficult to avoid generating data,428
data,data,"one analysis estimates that the united states alone has more than two zettabytes ( 2 , 000 exabytes ) of data , and that volume is projected to double every three years",429
internet companies and websites,web search,big data,430
digital native companies have capitalized by capturing these online data . more traditional businesses that rely on physical assets,digital native,digital,431
"digital universe in 2020 , idc , february 2013 . 17 andrew perrin , one - fifth of americans report going online",online,the digital universe,432
december,survey,survey,433
data,data,growth in the volume of data,434
data and analytics,data and analytics,the data and analytics revolution,435
customer - facing and internal operations,sophisticated,"digitize their customer - facing and internal operations , they , too , now have the building blocks for more sophisticated use of data and analytics",436
natural resources and manufacturing,sensors to monitor their physical assets,richer insights into human behavior,437
traditional industries,data and analytics,new tools and applications of data and analytics could eventually transform even traditional industries,438
analytical techniques and technologies,machine learning,machine learning,439
machine learning,machine learning,the algorithm “ learns ” from new data inputs and gets better over time,440
machine learning techniques,machine learning,machine learning,441
deep learning,deep learning,deep learning,442
speech recognition or natural language processing,development of autonomous vehicles,recognizing images by processing a hierarchy of features,443
"data , processing power , and increasingly sophisticated algorithms","deep learning systems are the clearest example of the confluence of abundant data , processing power , and increasingly sophisticated algorithms","confluence of abundant data , processing power , and increasingly sophisticated algorithms",444
internet of things,internet of things,mapping the value beyond the hype,445
data scientists,deep learning,"overcome , data scientists are making rapid advances in deep learning techniques",446
learning how to play games like chess and go to improving traffic management at stoplights,improving traffic management at stoplights,creativity,447
sociodemographic and behavioral data with the goal of improving preventive health care,preventive health care,improving preventive health care,448
real - time and predictive analytics,machine,integrate deep learning algorithms into their analysis quickly and easily,449
processing,supercomputer,increase in processing power,450
data and analytics,super,moore ’ s law,451
video game consoles,non - gaming contexts,computational power has gotten a boost from an unlikely source : video game consoles . the need for computational power to power ever more sophisticated video games has spurred the development of graphics processing units,452
traffic control,multiagent reinforcement learning,reinforcement learning,453
machine learning and knowledge discovery,machine learning and knowledge discovery,machine learning and knowledge discovery,454
"store , communicate , and compute",compute,"the world ’ s technology capacity to store , communicate , and compute",455
information,information,information,456
information technology,information technology,exponential and non - exponential trends in information technology,457
machine,machine intelligence research institute blog,machine intelligence,458
consumer and commercial,scalable growth,"use gpus for affordable , scalable growth",459
applications,applications,applications,460
data and analytics,data and analytics,the data and analytics revolution,461
medical research,medical research,crowdsourcing,462
analytics,analytics,"companies can purchase as much space as they need , greatly simplifying their data architecture and it requirements and lowering capital investment",463
data generation,analysis,increasing firehose of data streams simply exceeds the amount of storage that exists in the world,464
data and analytics,analytics,increase,465
"marketing , sales , and product development","marketing , sales , and product development",digitize everything they do,466
government,government,digitization tends to be correlated with data and analytics capabilities since it is a crucial enabler of data generation and collection,467
2015,folding,folding,468
data storage space ? ” world economic forum,data storage,running out of data storage space,469
"innovation , competition , and productivity",big data,"big data : the next frontier for innovation , competition , and productivity",470
"retail sector , and health care",digital native challengers,"if companies and organizations in those sectors continue to lag in the pace of adoption , they could open the door for new digital native challengers",471
data and analytics,analytics,the next generation of digital leaders is becoming more global,472
"strategy , marketing , sales , and product development","digitizing customer interactions provides a wealth of information that can feed into strategy , marketing , sales , and product development",digitizing customer interactions,473
data and analytics,internet,building a customer base,474
"amazon , netflix , uber , airbnb , and a host of new “ fintech ” financial firms have moved into industries where incumbents were heavily invested in certain types of physical assets",fintech,allowing new players to challenge incumbents,475
digital america : a tale of the haves and have - mores,digital,digital america,476
"europe : pushing the frontier , capturing the benefits","pushing the frontier , capturing the benefits",pushing the frontier,477
hyperscale ’ businesses,hyperscale,competition at the digital edge : ‘ hyperscale ’ businesses,478
quarterly,quarterly,quarterly,479
big data,big data,getting a better read on performance,480
december,2015,what is main idea ? [SEP],481
data and analytics,data and analytics,the data and analytics revolution,482
banks and telecom,search engine,looking for ways to make radical moves into other industries,483
"entering new markets or changing their business models . at the same time , they have to maintain a focus on using data and analytics",revenue and the cost side,"they have to keep thinking ahead , whether that means entering new markets or changing their business models . at the same time , they have to maintain a focus on using data and analytics to improve their core business . this may involve identifying specific use cases and applications on the revenue and the cost side , using analytics insights to streamline internal processes , and building mechanisms for constant learning and feedback to improve . pursuing this two - part strategy should position any organization to take advantage of opportunities and thwart potential disruptors",484
data and analytics,analytics,adapting,485
digital,digital transformation : the internet,playing to win : the new global competition for corporate profits,486
july,july,july,487
