,industry,function,usecase,paragraph_id,sentence,usecase_indication
1982,"natural language understanding , sensory perception , generating novel patterns / categories , social and emotional sensing , recognizing known patterns / categories , optimization and planning , and natural language generation","deep learning , in that these are capabilities deep learning is well suited to implement ( exhibit a20 ) . for example , deep learning networks have dramatically improved the ability of machines to recognize images , which is a form of sensory perception",deep learning networks have dramatically improved the ability of machines to recognize images,1982,predict hyperregional product demand and relevant health trends ,1.5217965
2031,inn,inn,discovery keeps innovating,2031,predict risk of individual customer churn based on multimodal data ,1.5184153
1230,agriculture automotive consumer,automotive consumer,agriculture,1230,generate a new potential recording in the same style genre ,1.5173478
321,variety of data ( number of data types,variety of data,variety of data,321,generate a new potential recording in the same style genre ,1.5173478
2008,occupations,deep learning,we are able to quantify the potential wage impact of deep learning by linking the dwas to the occupations that require them,2008,predict risk of failure for physical assets ,1.5165489
2037,k,what kind of application ? [SEP],what is main idea ? [SEP],2037,identify high value leads by combining internal and external data press releases etc for customers ,1.5151703
1819,forecasting,forecasting,forecasting,1819,identify critical factors to reduce number of required experiments for r d and testing ,1.5148727
1811,resource allocation,resource allocation,resource allocation,1811,detect defects and quality issues during production using visual and other data ,1.5146519
2014,b,b,what is main idea ? [SEP],2014,predict risk of illicit activity or terrorism using historical crime data intelligence data and other available sources e g predictive policing ,1.5137523
2067,energy,smart grid,smart grid,2067,replicate financial planning and other costly back office functions ,1.5136456
1815,forecasting,forecasting,forecasting,1815,determine root causes for quality issues developed outside of manufacturing ,1.5128298
1888,predictive analytics,predictive analytics,predictive analytics,1888,predict yield for farming or production leveraging iot sensor data and other relevant data ,1.5120604
1925,resource allocation,resource allocation,resource allocation,1925,interpolate ground composition to reduce necessary exploratory drilling samples ,1.5117012
1784,price and product optimization,price and product optimization,price and product optimization,1784,predict outcomes using fewer experiments to reduce experimental r d costs e g component testing track testing ,1.508024
1858,predictive analytics,predictive analytics,predictive analytics,1858,identify fraudulent activity using customer transactions and other relevant data ,1.5075917
1966,operations / logistics optimization,operations / logistics optimization,operations / logistics optimization,1966,optimize design of clinical trials including label writing and patient selection ,1.5060846
1782,forecasting,forecasting,forecasting,1782,recognize complex voice commands to access greater variety of services and features ,1.5056665
310,mc,analysis,analysis,310,predict the probability that a customer will choose another provider ,1.5034244
1219,classification,classification,classification,1219,predict the probability that a customer will choose another provider ,1.5034244
1307,activities,activities,what is main idea ? [SEP],1307,diagnose diseases ,1.5028497
361,categories,generating novel patterns / categories,generating novel patterns / categories,361,diagnose diseases ,1.5028497
1896,predictive maintenance,predictive maintenance,predictive maintenance,1896,optimize production process in real time determine where to dedicate resources to reduce bottlenecks and cycle time ,1.5021632
1868,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1868,predict asset price movements based on greater quantities of data e g social media video feeds to inform trading strategies ,1.5016758
1974,predictive analytics,predictive analytics,predictive analytics,1974,optimize resource allocation e g reduce search space prioritize drugs in drug development using disease trends and other data ,1.5015459
1955,exhibit,exhibit,exhibit,1955,detect major trauma events from wearables sensor data and signal emergency response ,1.5006924
1890,resource allocation,resource allocation,resource allocation,1890,predict real world results from fewer experiments to reduce experimental r d costs ,1.5004361
2039,machine learning and knowledge discovery,multiagent reinforcement learning for urban traffic control,reinforcement learning,2039,optimize resource allocation in network vs current and future loads ,1.4984832
1326,natural language generation,natural language generation,natural language generation,1326,pharmaceuticals optimize design of clinical trials including patient selection ,1.4979888
1771,predictive analytics,predictive analytics,predictive analytics,1771,identify and navigate roads and obstructions in real time for autonomous driving ,1.497524
1866,price and product optimization,price and product optimization,price and product optimization,1866,predict risk of loan delinquency and recommend proactive maintenance strategies ,1.4948952
1831,data richness,data richness,data richness,1831,personalize product recommendations and advertising to target individual consumers ,1.4936011
1898,resource allocation,resource allocation,resource allocation,1898,predict failure and recommend proactive maintenance for farming and production equipment ,1.4935899
2063,[CLS],what kind of application ? [SEP],what is main idea ? [SEP],2063,optimize micro campaigns and short term promotions ,1.4932085
1892,forecasting,forecasting,forecasting,1892,predict new high value crop strains based on past crops weather soil trends and other data ,1.4928482
1813,resource allocation,resource allocation,resource allocation,1813,optimize resource allocation in r d and manufacturing leveraging diverse data ,1.4921244
1807,predictive analytics,predictive analytics,predictive analytics,1807,identify design problems in pre production to reduce ramp up time to maximum output i e yield ramp ,1.4908571
1805,data richness,data richness,data richness,1805,predict future demand trends and potential constraints in supply chain ,1.4908049
1913,price and product optimization,price and product optimization,price and product optimization,1913,optimize blend and timing of raw materials in refining and similar processes ,1.4902115
1843,radical personalization,radical personalization,radical personalization,1843,predict risk of individual employee churn and recommend solutions ,1.4871792
1778,personalization,radical personalization,radical personalization,1778,optimize manufacturing process in real time determine where to dedicate resources to reduce bottlenecks and cycle time ,1.486923
1847,process unstructured data,process unstructured data,process unstructured data,1847,write product descriptions and ads for diverse product portfolio ,1.4865456
1331,advances in sensory perception and generating novel patterns and categories,natural language understanding,potential to be automated by adapting duplicate from es currently demonstrated technology,1331,consumer optimize logistics procurement timing and inventory distribution across warehouses and stores ,1.4862888
309,writing and text,generate writing and text,generate writing and text generate audio,309,predict probability of outcomes ,1.4836094
1218,problem types,problem types,problem types,1218,predict probability of outcomes ,1.4836094
1814,energy,predict energy demand trends based on multi - modal data,predict energy demand trends,1814,optimize r d experimental efficiency through process operations ,1.4830544
1803,maintenance,predictive maintenance,predictive maintenance,1803,optimize complex manufacturing process in real time determine where to dedicate resources to reduce bottlenecks and cycle time ,1.4828068
1972,forecasting,forecasting,forecasting,1972,identify target patient subgroups that are underserved e g not diagnosed and recommend mitigation strategy ,1.4818206
1947,price and product optimization,price and product optimization,price and product optimization,1947,predict individual hospital admission rates using historical and real time data ,1.4795523
1780,price and product optimization,price and product optimization,price and product optimization,1780,optimize lane choices and path routing based on multi modal data to reduce length of trip ,1.4791415
2035,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],2035,identify relevant features e g copyright infringement audience suitability in media content ,1.4758743
1968,radical personalization,radical personalization,radical personalization,1968,predict outcomes from fewer or diverse ,1.4749844
1648,b,b,b,1648, improve treatment efficacy by assessing health risks and adherence through ,1.474638
1917,predictive analytics,predictive analytics,predictive analytics,1917,optimize energy scheduling dispatch of power plants based on energy pricing weather and other real time data ,1.4741927
1300,health practitioners,health practitioners,health,1300,personalize crops to individual conditions ,1.4727851
354,"detailed work activities ” are defined by o * net , a data collection program sponsored by the us department of labor",data collection,workplace automation,354,personalize crops to individual conditions ,1.4727851
1908,"mobile , social media , location",use cases,personalize advertising and recommendations to target individual consumers,1908,predict failure and recommend proactive maintenance for mining drilling power generation and moving equipment ,1.4726146
1209,rec,neural network,recurrent neural network,1209,classify label writing and text ,1.4725771
300,classification,classification,classification,300,classify label writing and text ,1.4725771
1996,products and services,answer questions,answer questions about products and services,1996,optimize public policy decisions e g housing to take into account greater set of complex interactions ,1.4714054
2059,natural language processing and data mining,clinical decision support,correlating mammographic and pathologic findings in clinical decision support,2059,discover new trends in consumer behavior using mobile data and other relevant data ,1.4711066
1835,resource allocation,resource allocation,resource allocation,1835,predict hyperregional sales demand trends using real time data ,1.4698745
1809,operations / logistics optimization,operations / logistics optimization,operations / logistics optimization,1809,identify root causes for low product yield ,1.4688876
2023,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],2023,personalize advertising and recommendations to target individual consumers based on multi modal data mobile social media location etc ,1.4687775
2004,physical ▪ sensory perception ▪ fine motor skills / dexterity ▪ gross motor skills ▪ navigation ▪ mobility,mobility,navigation ▪ mobility,2004,forecast macroeconomic variables based on vast government proprietary and public data ,1.4664421
1862,resource allocation,resource allocation,resource allocation,1862,predict risk of churn for individual customers clients and recommend renegotiation strategy ,1.4649575
1212,price and product optimization,price and product optimization,price and product optimization,1212,classify and label songs from audio samples ,1.4642642
303,writing and text,"classify / label writing and text classify / label audio cluster , group other data","classify / label writing and text classify / label audio cluster , group other data",303,classify and label songs from audio samples ,1.4642642
1953,resource allocation,resource allocation,resource allocation,1953,evaluate doctor performance and provide outcome improving feedback ,1.464163
2065,talking scales and telemedicine,aco,keep patients out of the hospital,2065,predict regional demand trends for voice data other traffic ,1.4631717
318,use cases,use cases,potential impact,318,generate writing and text ,1.4629071
1227,exhibit,exhibit,exhibit,1227,generate writing and text ,1.4629071
2025,public - sector digitization,digitization,public - sector digitization,2025,discover new trends in consumption patterns ,1.4628267
2000,activities,activities,what is main idea ? [SEP],2000,replicate back office decision processes for applications permitting tax auditing etc ,1.4626119
1810,refining and similar processes,optimize blend and timing of raw materials in refining and similar processes,optimize blend and timing of raw materials,1810,discover new trends anomalies ,1.4623754
2026,"discovery health , sustainable development",sustainable development,sustainable development,2026,discover new trends anomalies ,1.4623754
1981,detailed work activities to determine which work activities could be performed by or affected by deep learning,deep learning,to determine which work activities could be performed by or affected by deep learning,1981,discover new trends anomalies ,1.4623754
1865,product launch,product launch,optimize product launch strategy,1865,discover new trends anomalies ,1.4623754
1859,patient subgroups that are underserved,recommend mitigation strategy,recommend mitigation strategy,1859,discover new trends anomalies ,1.4623754
1257,"consumer packaged goods , media , finance , and education","consumer packaged goods , media , finance , and education",radical personalization of goods or services,1257,discover new trends anomalies ,1.4623754
1818,drilling,exploratory drilling,interpolate ground composition to reduce necessary exploratory drilling samples,1818,discover new trends anomalies ,1.4623754
1973,performance and risk,identify performance and risk for drivers / pilots through driving patterns and other data,identify performance and risk,1973,discover new trends anomalies ,1.4623754
275,deep,deep learning networks,deep learning,275,discover new trends anomalies ,1.4623754
2060,r,what kind of application ? [SEP],what is main idea ? [SEP],2060,discover new trends anomalies ,1.4623754
2038,institute,building a safer health system,building a safer health system,2038,discover new trends anomalies ,1.4623754
1946,micro - campaigns and short - term promotions,micro - campaigns,optimize micro - campaigns and short - term promotions,1946,discover new trends anomalies ,1.4623754
1711,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1711,discover new trends anomalies ,1.4623754
1787,production,predict product demand trends,predict product demand trends to inform production decisions,1787,discover new trends anomalies ,1.4623754
1762,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1762,discover new trends anomalies ,1.4623754
2061,analytics,analytics,the talent dividend,2061,predict failure and recommend proactive maintenance for fixed substations poles and moving equipment ,1.4619846
1333,workplace automation,automation,workplace automation,1333,travel transport and logistics optimize routing in real time airlines logistics and last mile routing for delivery ,1.4604034
1298,food and beverage,food and beverage service,food and beverage,1298,personalize financial products ,1.4590569
352,workplace,workplaces,almost all activities require some capabilities that correlate with what machine learning can do,352,personalize financial products ,1.4590569
1096,human,preconditions,preconditions,1096, automate business support functions ,1.458698
1356,"operating vehicles , mechanized devices , or equipment",evaluating information to determine compliance with standards,evaluating information to determine compliance with standards,1356,answer questions about products and services ,1.4581538
1900,price and product optimization,price and product optimization,price and product optimization,1900,construct detailed map of farm characteristics based on aerial video ,1.4560987
1302,greet customers,greet customers,greet customers,1302,predict personalized health outcomes ,1.45597
356,exhibit,what kind of application ? [SEP],exhibit,356,predict personalized health outcomes ,1.45597
1229,variety of data ( number of data types,variety of data,variety of data,1229,generate audio ,1.4529451
320,industries,use cases,machine learning,320,generate audio ,1.4529451
1328,where,where required,share of dwas where current level is inadequate,1328,optimize blend of raw materials in refining or other processes ,1.4524281
1919,price and product optimization,price and product optimization,price and product optimization,1919,optimize mine plans based on drilling samples past sites and other data ,1.4520996
1841,predictive analytics,predictive analytics,predictive analytics,1841,classify visual features from in store video to collect data on product placement product touches and other key performance indicators for use in auditing or market research ,1.4520118
1225,travel and logistics,high - opportunity,prioritize the use of machine learning and prepare for a transformation to take place,1225,generate visual objects ,1.4511045
316,money laundering,predictive analytics,spotting fraud,316,generate visual objects ,1.4511045
1801,energy,machine learning,machine learning,1801,predict failure and recommend proactive maintenance for production and moving equipment ,1.4510646
1301,occupations,occupations,occupations,1301,optimize pricing and scheduling in real time ,1.4507458
355,machine learning gains better capabilities in natural language understanding,natural language understanding,machine learning gains better capabilities in natural language understanding,355,optimize pricing and scheduling in real time ,1.4507458
1956,"transport , travel , and logistics",machine learning,machine learning,1956,process unstructured data ,1.450353
1713,process unstructured data,process unstructured data,process unstructured data,1713,process unstructured data ,1.4503529
1901,"crime data , intelligence data , and other available sources ( e . g . , predictive policing",predictive policing,"predict risk of illicit activity or terrorism using historical crime data , intelligence data , and other available sources ( e . g . , predictive policing",1901,process unstructured data ,1.4503529
1772,resource allocation,resource allocation,resource allocation,1772,process unstructured data ,1.4503529
1842,personalize messaging and approach,personalize messaging and approach,improve wellness and adherence,1842,process unstructured data ,1.4503529
1783,new crop testing,predict real - world results from fewer experiments to reduce experimental r & d costs,predict real - world results from fewer experiments to reduce experimental r & d costs,1783,process unstructured data ,1.4503529
2036,tech,talent shortage : how tech candidates search for jobs,beyond the talent shortage : how tech candidates search for jobs,2036,process unstructured data ,1.4503529
1764,predictive analytics,predictive analytics,predictive analytics,1764,process unstructured data ,1.4503529
1812,"drilling samples , past sites , and other data",optimize mine plans,optimize mine plans,1812,process unstructured data ,1.4503529
1936,cape,optimize capex investment,optimize capex investment,1936,diagnose known diseases from scans biopsies audio and other data ,1.4498999
2055,bibliography,bibliography,bibliography,2055,personalize strategy to target individual consumers based on multi modal data mobile social media location etc ,1.4484732
1295,capabilities,deep learning,deep,1295,identify fraudulent transactions ,1.4472911
349,travel and logistics,personalized advertising,prioritize the use of machine learning and prepare for a transformation to take place,349,identify fraudulent transactions ,1.4472911
1886,radical personalization,radical personalization,radical personalization,1886,optimize pricing in real time based on future market weather and other forecasts ,1.4457439
1894,radical personalization,radical personalization,radical personalization,1894,predict product demand trends to inform production decisions ,1.445687
1872,price and product optimization,price and product optimization,price and product optimization,1872,route call center cases based on multi modal data e g customer preferences audio data to increase customer satisfaction and reduce handling costs ,1.4445778
1845,predictive analytics,predictive analytics,predictive analytics,1845,route call center cases based on multi modal data e g customer preferences audio data to increase customer satisfaction and reduce handling costs ,1.4445778
1776,agriculture,machine learning,machine learning,1776,predict failure and recommend proactive maintenance on vehicle components ,1.4438232
1949,forecasting,forecasting,forecasting,1949,triage patient cases during hospital admission using patient data audio and video ,1.4436997
1870,forecasting,forecasting,forecasting,1870,optimize labor staffing and distribution to reduce operational costs in front and back office ,1.4425373
2029,g,g,what is main idea ? [SEP],2029,predict viewership for new content to optimize content production decisions using multi modal data mobile social media past productions etc ,1.4411627
1231,energy finance health care,energy finance,energy finance,1231,generate other data ,1.4407073
322,agriculture automotive consumer,automotive consumer,agriculture,322,generate other data ,1.4407073
1297,retail salespeople,retail sales,retail,1297,personalize advertising ,1.440592
351,every occupation,work activities performed in every occupation in the economy,advances in deep learning could greatly expand the scope of automation,351,personalize advertising ,1.440592
1497,€,e,less than 15 % of the €150 billion – €300 billion in annual efficiencies estimated in 2011 likely has been achieved,1497,determine the aggregate impact ,1.4355948
1210,linear and non - linear,linear and non - linear,linear,1210,identify letters symbols words in writing sample ,1.4350665
301,visual,classify / label visual objects,classify / label,301,identify letters symbols words in writing sample ,1.4350665
1208,forecasting,forecasting,forecasting,1208,identify objects faces in images and video ,1.4338378
299,"classification , prediction , and generation","classification , prediction , and generation problems","machine learning can help solve classification , prediction , and generation problems",299,identify objects faces in images and video ,1.4338378
1873,mc,analysis,analysis,1873,optimize branch atm network based on diverse signals of demand e g social data transactions ,1.4321988
1929,technical,technical,technical,1929,optimize specifications in construction for power generation equipment based on previous sites and other relevant data ,1.4317702
2033,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],2033,optimize aggregate marketing mix and marketing spend ,1.429854
1839,forecasting,forecasting,forecasting,1839,optimize aggregate marketing mix and marketing spend ,1.429854
1788,forecasting,forecasting,forecasting,1788,optimize aggregate marketing mix and marketing spend ,1.429854
1359,interacting with computers,interacting with computers,interacting with computers,1359,process sales and transactions ,1.4289969
1921,process unstructured data,process unstructured data,process unstructured data,1921,predict energy demand trends based on multi modal data ,1.4284416
1299,teachers,teachers,teachers,1299,identify and navigate roads ,1.4280404
353,natural language understanding,natural language understanding,potential to be automated by adapting currently demonstrated technology,353,identify and navigate roads ,1.4280404
1334,where machines could replace humans — and where they can ’ t,where machines could replace humans — and where they can ’ t,where machines could replace humans,1334,energy optimize power plants based on energy pricing weather and other real time data ,1.4276412
1358,"inspecting equipment , structures , or material","inspecting equipment , structures , or material communicating with persons outside organization","inspecting equipment , structures , or material communicating with persons outside organization",1358,demonstrate product features ,1.4241128
1978,process unstructured data,process unstructured data,process unstructured data,1978,optimize product launch strategy based on past launches and relevant data ,1.4233879
1216,encryption,encryption,encryption,1216,identify that people who watch certain tv shows also read certain books ,1.4214205
307,generation,generation,generation,307,identify that people who watch certain tv shows also read certain books ,1.4214205
1327,detailed work activities,detailed work activities,share of detailed work activities,1327,optimize capital expenditures across networks ,1.4210343
1980,technical,technical,technical,1980,discover new alternative applications for developed drugs i e label expansion ,1.4195273
2057,p,what kind of application ? [SEP],what is main idea ? [SEP],2057,optimize call center routing for individual calls fewer agent handled calls ,1.4189937
1923,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1923,optimize aggregate pricing and promotional targeting to energy customers ,1.417184
1030,sales agents,sales agents,inputs from sales agents,1030,eliminate treatments that are ineffective for each individual ,1.4151818
1320,natural language understanding,natural language understanding,natural language understanding,1320,public sector optimize public policy decisions for example housing policies to take into account a greater set of complex interactions and potential consequences ,1.4110657
1853,label writing and patient selection,clinical trials,optimize design of clinical trials,1853,personalize product offerings to target individual consumers based on multi modal data mobile social media location etc ,1.4073441
1332,humans are still the real stars,artificial intelligence,humans are still the real stars,1332,manufacturing optimize complex manufacturing processes in real time and determine where to dedicate resources to reduce bottlenecks and cycle time particularly relevant in automotive and other types of advanced manufacturing ,1.406858
1355,assisting and caring for others,assisting and caring for others,assisting and caring for others,1355,greet customers ,1.405904
1998,product,product,demonstrate product features,1998,personalize public services to target individual citizens based on multi modal data mobile social media location etc ,1.4053533
1308,cognitive ▪ understanding natural language ▪ generating natural language ▪ retrieving information,cognitive,understanding natural language,1308,optimize clinical trials ,1.4052801
362,social and emotional sensing,social and emotional sensing,social and emotional sensing,362,optimize clinical trials ,1.4052801
1319,capability,capability,capability,1319,finance evaluate customer credit risk more accurately with faster and less biased underwriting decisions ,1.4047284
2012,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],2012,optimize pricing for government provided goods and services e g tolls park entrance fees ,1.4018106
1130,medical,medical,medical error : the third leading cause of death in the us,1130,preconditions human biases and ,1.3959739
1330,mc,analysis,analysis,1330,media identify features of optimal content and improve casting ,1.3955787
1653,l,l,what is main idea ? [SEP],1653, direct patients to the highest value care to reduce costs e g pricing ,1.3948545
358,capability,capability,capability,358,optimize merchandising strategy ,1.3947873
1304,clean and maintain work areas,clean and maintain work areas,clean and maintain work areas,1304,optimize merchandising strategy ,1.3947873
1902,predictive analytics,predictive analytics,predictive analytics,1902,optimize purchasing mix across suppliers and locations ,1.3939116
1976,predictive analytics,predictive analytics,predictive analytics,1976,identify high value providers and target marketing product mix ,1.3918245
1266,algorithms,recommender,recommender system,1266,convert unstructured data ,1.3908079
284,price and product optimization,price and product optimization,price and product optimization,284,convert unstructured data ,1.3908079
357,understanding and generation as well as social sensing,work,improvements in natural learning understanding and generation as well as social sensing would have the biggest impact on expanding the number of work activities that deep learning could technically automate,357,discover new consumer trends ,1.3899205
1303,products and services,answer questions,answer questions about products and services,1303,discover new consumer trends ,1.3899205
1792,operations / logistics optimization,operations / logistics optimization,operations / logistics optimization,1792,predict market potential for new product innovation ,1.3854992
1837,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1837,predict market potential for new product innovation ,1.3854992
551,united kingdom ’ s payment phase segmentation,tax forms,cross - checks between agencies to improve the accuracy of their reviews of tax forms,551,remain thin as much of the value goes to consumer surplus ,1.3816211
1357,monitoring and controlling resources,monitoring and controlling resources,monitoring and controlling resources,1357,clean and maintain work areas ,1.380687
2010,technical,technical,technical,2010,optimize labor allocation for publicly provided services to match demand ,1.3780122
298,exhibit,exhibit,exhibit,298,classify label visual objects ,1.3667281
1207,graph algorithms,graph algorithms,graph algorithms,1207,classify label visual objects ,1.3667278
1223,es,duplicate,duplicate,1223,trained on thousands of games played predict estimate rewards from actions from future states for dynamic games ,1.3660425
314,aerodynamics,machine learning,improve,314,trained on thousands of games played predict estimate rewards from actions from future states for dynamic games ,1.3660425
2041,digital,digital,managing talent,2041,optimize release dates and regional targeting for film rollouts ,1.361491
312,[SEP],what kind of application ? [SEP],repeats,312,trained on historical data forecast demand for a product ,1.3590641
1221,generation,generation,generation,1221,trained on historical data forecast demand for a product ,1.3590641
1413,exhibit,exhibit,exhibit,1413,evaluating information to determine compliance with standards ,1.3580917
1028,un,unstructured,un,1028,directing patients away from higher cost higher risk settings when possible ,1.3505454
1341,social and emotional sensing,social and emotional sensing,social and emotional sensing,1341, correlating mammographic and pathologic findings in clinical decision support using ,1.3500276
109,mc,analysis,expert interviews ; mckinsey global institute analysis,109, need to demonstrate clinical utility to gain acceptance ,1.3477662
526,june,june,june,526, need to demonstrate clinical utility to gain acceptance ,1.3477662
669,data scientists,practical,converting,669,launching programs specifically targeted to data analytics or data science and business analytics ,1.3465388
1829,predict,predictive analytics,predictive analytics,1829,optimize in store product assortment to maximize sales ,1.3445189
637,business uses and developing more practical firm - specific insights and applications,practical firm - specific,working closer to business uses,637,tracking the business impact of data and analytics activities ,1.3436627
1994,occupations,occupations,occupations,1994,optimize public resource allocation for urban development to improve quality of life ,1.3416398
635,data and analytics,"data engineers who scale data solutions and build products ; the data scientists who analyze data with increasingly sophisticated techniques to develop insights ; and “ business translators ” who have both technical and domain - or function - specific business knowledge , enabling them to turn analytical insights into profit and loss impact . in addition to these four categories , data visualization","realizing the full potential of data and analytics . there are four broad types of roles to consider : the data architects who design data systems and related processes ; the data engineers who scale data solutions and build products ; the data scientists who analyze data with increasingly sophisticated techniques to develop insights ; and “ business translators ” who have both technical and domain - or function - specific business knowledge , enabling them to turn analytical insights into profit and loss impact . in addition to these four categories , data visualization is an important skill set , vital to the last - mile challenge of discovering value",635,securing internal leadership for data and analytics projects ,1.341018
1077,insurance,data,incorporating more data from multiple sources and applying cutting - edge analytics can create value . the industry can rely on a wider array of information to assess risk more accurately . companies can reduce fraud,1077, stores practically unlimited amounts of data of any format and type silos minimized and single source of truth accessible by whole organization ,1.3406688
963,physicians and regulators,clinical decision support tools,"to deliver truly personalized care , health - care networks and other providers will need to integrate data across emr systems to get a complete view of a patient . it will take a vast data set of patient records to build smart clinical decision support tools . a great challenge for these systems and for the practice of medicine generally will be how to manage this constant flood of information and incorporate it into care",963,identifying an individual’s skills and career goals to aid job matching and training ,1.3405651
1943,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1943,optimize labor staffing and resource allocation to reduce bottlenecks ,1.3404632
2053,innovation and performance,open data,open data,2053,optimize capex investment across network ,1.3383291
968,data and analytics,data and analytics,disruption,968,tailored and curated content ,1.3340676
1094,exhibit,exhibit,exhibit,1094, cross sell upsell products ,1.3333964
640,tech,tech candidates search for jobs,beyond the talent shortage : how tech candidates search for jobs,640,providing business functions with access to support ,1.3322716
1551,commercial parking,commercial parking,reduced parking cost,1551, aggregating and synthesizing patient clinical records and claims datasets ,1.3303666
1045,survey / satisfaction,regular survey / satisfaction data,regular survey / satisfaction data,1045,take their analytics capabilities to the next level ,1.3284729
638,data scientists,ai,enabled google to reduce the cooling costs for its vast data centers,638,designing an appropriate organizational structure to support data and analytics activities ,1.3260692
754,future,future trajectory of value,future trajectory of value,754, manipulating aggregated data to develop actionable insights ,1.3229487
1401,labor and statistical,analysis,labor and statistical sources ; mckinsey global institute analysis,1401,documenting recording information ,1.3228254
2027,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],2027,optimize pricing for services offerings based on customer specific data ,1.3192357
623,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],623,identifying the most critical internal barriers for organizations ,1.3185703
1027,internal to banks,internal,internal to banks,1027,proactive risk assessment to anticipate complications and reduce hospital stays ,1.3179705
2069,physical and digital,digital,linking the physical and digital worlds,2069,optimize field force labor allocation ,1.3174263
1325,optimization and planning,optimization and planning,optimization and planning,1325,consumer optimize in store product assortment to maximize sales ,1.3168763
1365,"privacy , data security , and data ownership",machine learning,machine learning,1365,articulating display output coordination with multiple agents ,1.3153639
1148,human resources functions for a representative company in a few industries,human resources,human resources,1148,view into the future leading to more effective and judicious use of resources ,1.3150241
1316,media,media,improvements,1316,health care diagnose diseases from scans biopsies audio and other data ,1.3121086
1984,work,work activities,deep learning,1984,optimize pricing strategy for drug portfolio ,1.3103287
153,change management,change management,change management,153, enhancing data deriving new predictor variables ,1.3093752
612,barriers,barriers,barriers,612, enhancing data deriving new predictor variables ,1.3093752
1650,exhibit,exhibit,exhibit,1650, improve overall wellness through tailored programs this lever was sized using the same assumptions made in our iot report ,1.308692
1416,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],1416,monitoring and controlling resources ,1.30811
421,"transportation , hospitality , and retail",data and analytics,it,421,providing consultation and advice to others ,1.3075179
1409,research,research,research,1409,providing consultation and advice to others ,1.3075179
1457,average value realized by adopters,adopters,average value realized by adopters,1457,providing consultation and advice to others ,1.3075179
1329,%,%,capability is the only gap,1329,public sector optimize resource allocation across various public infrastructure projects ,1.3062081
975,personalized medicine,personal,personalized medicine,975,more aware of their risk factors and take charge of their own health ,1.3032538
639,data and analytics,analytics,responding to the growing demand for analytics talent,639,creating flexibility in existing processes to take advantage of data driven insights ,1.3022637
305,value,predict probability of outcomes forecast value function estimation,predict probability of outcomes forecast value function estimation,305,segment objects e g customers product features into categories clusters ,1.3011128
1214,signal processing,signal processing,signal processing,1214,segment objects e g customers product features into categories clusters ,1.3011128
1459,mc,analysis,analysis,1459,organizing planning and prioritizing work ,1.2981689
423,ups,algorithm,the algorithm is the driver,423,organizing planning and prioritizing work ,1.2981689
